Date,id,x,y
20061027,49,521821,3590580
20061028,49,521553,3591245
20061029,49,519067,3589097
20061030,49,520136,3587085
20061001,49,520136,3587085
20061002,49,520152,3587104
20061003,49,520136,3587085
20061004,49,520152,3587085
20061005,49,520136,3587067
20061006,49,520168,3587085
20061007,49,520136,3587085
20061008,49,520136,3587085
20061009,49,520136,3587085
20061010,49,520152,3587085
20061011,49,520136,3587085
20061012,49,520152,3587085
20061013,49,520136,3587085
20061014,49,522429,3591764
20061015,49,520136,3587048
20061016,49,520136,3587104
20061017,49,520136,3587085
20061018,49,520136,3587104
20061019,49,520715,3587788
20061020,49,520152,3587085
20061021,49,520136,3587085
20061022,49,520136,3587067
20061023,49,520136,3587067
20061024,49,520136,3587085
20061025,49,520136,3587104
20061026,49,520136,3587085
20061031,49,520136,3587067
20061101,49,520136,3587085
20061102,49,521780,3587717
20061103,49,521496,3588972
20061104,49,521089,3588473
20061105,49,520136,3587104
20061106,49,520121,3587122
20061107,49,520152,3587085
20061108,49,521617,3590635
20061109,49,520825,3587493
20061110,49,520152,3587103
20061111,49,520137,3587103
20061112,49,520136,3587085
20061113,49,520917,3588509
20061114,49,520995,3588473
20061115,49,520137,3587086
20061116,49,520137,3587086
20061117,49,520137,3587086
20061118,49,520137,3587103
20061119,49,519160,3589485
20061120,49,520137,3587103
20061121,49,520137,3587086
20061122,49,520137,3587103
20061123,49,520370,3587769
20061124,49,521465,3588696
20061125,49,520152,3587086
20061126,49,520137,3587067
20061127,49,520152,3587086
20061128,49,520121,3587122
20061129,49,519519,3590649
20061130,49,520137,3587067
20061201,49,520137,3587086
20061202,49,520137,3587103
20061203,49,520137,3587086
20061204,49,520137,3587086
20061205,49,520137,3587103
20061206,49,520137,3587103
20061207,49,520137,3587086
20061208,49,520137,3587086
20061209,49,520137,3587086
20061210,49,520137,3587086
20061211,49,520137,3587086
20061212,49,520152,3587086
20061213,49,520152,3587086
20061214,49,520464,3587954
20061215,49,520137,3587086
20061216,49,520152,3587086
20061217,49,521025,3589304
20061218,49,520137,3587067
20061219,49,520137,3587067
20061220,49,520137,3587086
20061221,49,520152,3587086
20061222,49,520152,3587103
20061223,49,521136,3588399
20061224,49,521426,3592371
20061225,49,521105,3588288
20061226,49,521638,3588289
20061227,49,522297,3588069
20061228,49,520152,3587086
20061229,49,520152,3587103
20061230,49,520137,3587086
20061231,49,521701,3587957
20070101,49,520137,3587086
20070102,49,520137,3587086
20070103,49,521136,3588399
20070104,49,520137,3587103
20070105,49,521770,3585241
20070106,49,520510,3588490
20070107,49,520137,3587086
20070108,49,520137,3587141
20070109,49,520152,3587103
20070110,49,520137,3587103
20070111,49,520137,3587086
20070112,49,520137,3587086
20070113,49,520120,3587159
20070114,49,520152,3587103
20070115,49,520152,3587086
20070116,49,521447,3589877
20070117,49,520677,3590689
20070118,49,521569,3591152
20070119,49,522445,3591746
20070120,49,520402,3587603
20070121,49,521136,3588399
20070122,49,520152,3587086
20070123,49,520137,3587103
20070124,49,520137,3587086
20070125,49,520137,3587103
20070126,49,520604,3588361
20070127,49,520745,3588601
20070128,49,520400,3588231
20070129,49,520460,3589820
20070130,49,520137,3587103
20070131,49,520152,3587086
20070201,49,520137,3587048
20070202,49,520121,3587085
20070203,49,521026,3588787
20070204,49,521903,3588974
20070205,49,520152,3587086
20070206,49,520786,3591317
20070207,49,521089,3588473
20070208,49,520137,3587086
20070209,49,520137,3587103
20070210,49,520152,3587086
20070211,49,520137,3587086
20070212,49,520137,3587086
20070213,49,520121,3587067
20070214,49,520137,3587086
20070215,49,520137,3587086
20070216,49,520137,3587086
20070217,49,520137,3587086
20070218,49,520137,3587086
20070219,49,522445,3591764
20070220,49,522765,3589104
20070221,49,525631,3589260
20070222,49,524046,3590143
20070223,49,522637,3589658
20070224,49,520105,3587141
20070225,49,519743,3587878
20070226,49,520369,3588212
20070227,49,522383,3591597
20070228,49,522339,3590378
20070301,49,520105,3587122
20070302,49,522729,3590601
20070303,49,519893,3591464
20070304,49,520019,3591020
20070305,49,519877,3591519
20070306,49,525806,3588188
20070307,49,526075,3587136
20070308,49,526744,3588892
20070309,49,528876,3588621
20070310,49,528876,3588603
20070311,49,528876,3588603
20070312,49,527136,3588876
20070313,49,528876,3588621
20070314,49,528876,3588621
20070315,49,528860,3588603
20070316,49,521700,3588400
20070317,49,528860,3588621
20070318,49,526266,3586047
20070319,49,528860,3588621
20070320,49,528876,3588603
20070321,49,528860,3588621
20070322,49,528876,3588603
20070323,49,522959,3586389
20070324,49,535251,3584484
20070325,49,535721,3593742
20070326,49,528860,3588603
20070327,49,521572,3589767
20070328,49,533776,3589672
20070329,49,536030,3586132
20070330,49,524948,3586579
20070331,49,525568,3583180
20070401,49,528876,3588603
20070402,49,528860,3588621
20070403,49,528860,3588603
20070404,49,526052,3590295
20070405,49,528390,3588749
20070406,49,528860,3588603
20070407,49,527420,3588248
20070408,49,526818,3590722
20070409,49,528860,3588621
20070410,49,520066,3591094
20070411,49,520066,3591094
20070412,49,520066,3591113
20070413,49,520066,3591094
20070414,49,520082,3591094
20070415,49,520082,3591094
20070416,49,520413,3590005
20070417,49,520066,3591094
20070418,49,520176,3590725
20070419,49,520396,3590393
20070420,49,519861,3591500
20070421,49,520957,3591816
20070422,49,520082,3591113
20070423,49,520082,3591094
20070424,49,520066,3591094
20070425,49,522021,3591948
20070426,49,522833,3593225
20070427,49,522122,3596105
20070428,49,521950,3596327
20070429,49,534892,3593334
20070430,49,545643,3591659
20070501,49,545674,3591676
20070502,49,545690,3591640
20070503,49,543818,3590061
20070504,49,542496,3587709
20070505,49,543736,3587308
20070506,49,537659,3586378
20070507,49,536045,3586058
20070508,49,532366,3585195
20070509,49,533204,3587581
20070510,49,533139,3593143
20070511,49,533107,3593068
20070512,49,530612,3594631
20070513,49,527851,3590762
20070514,49,521929,3591098
20070515,49,521431,3589951
20070516,49,521462,3589711
20070520,49,521447,3589915
20070521,49,521368,3590062
20070522,49,521400,3589841
20070523,49,521431,3589877
20070524,49,521289,3590209
20070525,49,521305,3590209
20070526,49,521085,3590468
20070527,49,521132,3590302
20070528,49,521101,3590431
20070529,49,522354,3590360
20070530,49,523591,3590732
20070531,49,524170,3590881
20070601,49,525030,3591401
20070602,49,525093,3591420
20070603,49,525077,3591420
20070604,49,525112,3590329
20070605,49,525080,3590384
20070606,49,521225,3590930
20070607,49,521194,3590985
20070608,49,521586,3590636
20070609,49,521601,3590636
20070610,49,521539,3590617
20070611,49,521304,3590912
20070612,49,521523,3590636
20070613,49,521554,3590709
20070614,49,521570,3590691
20070615,49,521617,3590691
20070616,49,521570,3590636
20070617,49,521539,3590617
20070618,49,521570,3590617
20070619,49,521117,3590375
20070620,49,521069,3590635
